operator,run,case,first_npu,workers,route,seed,iteration,warmup,ingress_bytes,egress_bytes,complete_us,directional_gb_s,status,correct
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,3,False,540082176,268435456,7837.88,68.9066655779,0,True
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,4,False,540082176,268435456,7859.293,68.7189262444,0,True
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,5,False,540082176,268435456,7857.044,68.7385963474,0,True
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,6,False,540082176,268435456,7870.704,68.6192970794,0,True
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,7,False,540082176,268435456,7844.653,68.8471722076,0,True
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,8,False,540082176,268435456,7865.79,68.6621656566,0,True
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,9,False,540082176,268435456,7861.124,68.7029203457,0,True
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,10,False,540082176,268435456,7806.075,69.1874182608,0,True
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,11,False,540082176,268435456,7838.489,68.9013119748,0,True
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,12,False,540082176,268435456,7862.814,68.6881536305,0,True
C,combine_formal,w4_random_k2,8,4,random_k2,17,0,True,536870912,268435456,7940.903,67.6082949257,0,True
C,combine_formal,w4_random_k2,8,4,random_k2,17,1,True,536870912,268435456,7771.585,69.0812636032,0,True
C,combine_formal,w4_random_k2,8,4,random_k2,17,2,True,536870912,268435456,7791.408,68.9055061678,0,True
C,combine_formal,w4_random_k2,8,4,random_k2,17,3,False,536870912,268435456,7781.497,68.9932685189,0,True
C,combine_formal,w4_random_k2,8,4,random_k2,17,4,False,536870912,268435456,7737.395,69.3865198817,0,True
C,combine_formal,w4_random_k2,8,4,random_k2,17,5,False,536870912,268435456,7732.666,69.4289539985,0,True
C,combine_formal,w4_random_k2,8,4,random_k2,17,6,False,536870912,268435456,7721.234,69.5317499768,0,True
C,combine_formal,w4_random_k2,8,4,random_k2,17,7,False,536870912,268435456,7786.135,68.9521710065,0,True
C,combine_formal,w4_random_k2,8,4,random_k2,17,8,False,536870912,268435456,7695.18,69.7671674997,0,True
C,combine_formal,w4_random_k2,8,4,random_k2,17,9,False,536870912,268435456,7765.503,69.1353685653,0,True
C,combine_formal,w4_random_k2,8,4,random_k2,17,10,False,536870912,268435456,7737.929,69.3817314685,0,True
C,combine_formal,w4_random_k2,8,4,random_k2,17,11,False,536870912,268435456,7766.402,69.1273657995,0,True
C,combine_formal,w4_random_k2,8,4,random_k2,17,12,False,536870912,268435456,7783.454,68.9759214868,0,True
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,0,True,536870912,134217728,7032.811,76.3380264307,0,True
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,1,True,536870912,134217728,6815.351,78.7737729135,0,True
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,2,True,536870912,134217728,6837.121,78.5229502301,0,True
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,3,False,536870912,134217728,6811.24,78.8213177043,0,True
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,4,False,536870912,134217728,6791.11,79.054957437,0,True
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,5,False,536870912,134217728,6797.924,78.9757155273,0,True
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,6,False,536870912,134217728,6788.836,79.0814378194,0,True
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,7,False,536870912,134217728,6822.117,78.6956471136,0,True
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,8,False,536870912,134217728,6816.032,78.7659025075,0,True
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,9,False,536870912,134217728,6783.017,79.1492800328,0,True
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,10,False,536870912,134217728,6803.317,78.9131113544,0,True
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,11,False,536870912,134217728,6839.525,78.4953504812,0,True
C,combine_formal,w4_sym_k4_gpu4,8,4,sym_k4_gpu4,17,12,False,536870912,134217728,6804.563,78.8986613835,0,True
